Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
16107;Benjamin Godard - Victor Hugo;OUI;35;29;5;1;4;OUI;OUI;2025-10-18T18:37:02+02:00;48.865983, 2.275725;Paris;75056;
32304;Charcot - Benfleet;OUI;28;25;1;0;1;OUI;OUI;2025-10-18T18:38:01+02:00;48.878370277021, 2.440523876268;Romainville;93063;
40001;Hôpital Mondor;OUI;28;9;18;10;8;OUI;OUI;2025-10-18T18:40:10+02:00;48.798922410229, 2.4537451531298;Créteil;94028;
14111;Cassini - Denfert-Rochereau;OUI;25;21;2;1;1;OUI;OUI;2025-10-18T18:39:09+02:00;48.837525839067, 2.3360354080796;Paris;75056;
9020;Toudouze - Clauzel;OUI;21;18;3;1;2;OUI;OUI;2025-10-18T18:36:44+02:00;48.87929591733507, 2.3373600840568547;Paris;75056;
14014;Jourdan - Stade Charléty;OUI;60;47;10;6;4;OUI;OUI;2025-10-18T18:40:14+02:00;48.819428333369, 2.3433353751898;Paris;75056;
11104;Charonne - Robert et Sonia Delaunay;OUI;20;13;6;4;2;OUI;OUI;2025-10-18T18:36:39+02:00;48.855907555969, 2.3925706744194;Paris;75056;
32017;Basilique;OUI;22;12;7;3;4;OUI;OUI;2025-10-18T18:38:12+02:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066;
8026;Messine - Place Du Pérou;OUI;12;8;4;3;1;OUI;OUI;2025-10-18T18:37:36+02:00;48.875448033960744, 2.315508019010038;Paris;75056;
6003;Saint-Sulpice;OUI;21;3;18;9;9;OUI;OUI;2025-10-18T18:39:58+02:00;48.85165383178419, 2.3308077827095985;Paris;75056;
7002;Vaneau - Sèvres;OUI;35;28;6;2;4;OUI;OUI;2025-10-18T18:38:33+02:00;48.848563233059, 2.3204218259346;Paris;75056;
5110;Lacépède - Monge;OUI;23;15;7;2;5;OUI;OUI;2025-10-18T18:33:10+02:00;48.84389286531899, 2.3519663885235786;Paris;75056;
40011;Bas du Mont-Mesly;OUI;27;17;10;6;4;OUI;OUI;2025-10-18T18:40:23+02:00;48.779035118572, 2.4609763908985;Créteil;94028;
6108;Saint-Romain - Cherche-Midi;OUI;17;15;1;1;0;OUI;OUI;2025-10-18T18:39:25+02:00;48.84708159081946, 2.321374788880348;Paris;75056;
21010;Silly - Galliéni;OUI;25;9;15;15;0;OUI;OUI;2025-10-18T18:40:40+02:00;48.835583838706, 2.2325500845909;Boulogne-Billancourt;92012;
33006;André Karman - République;OUI;31;27;1;0;1;OUI;OUI;2025-10-18T18:39:19+02:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001;
25006;Place Nelson Mandela;OUI;22;21;0;0;0;OUI;OUI;2025-10-18T18:40:39+02:00;48.862453313908, 2.1961666225454;Rueil-Malmaison;92063;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;20;5;4;1;OUI;OUI;2025-10-18T18:38:56+02:00;48.81580226360801, 2.376804985105991;Ivry-sur-Seine;94041;
30002;Jean Rostand - Paul Vaillant Couturier;OUI;40;23;15;9;6;OUI;OUI;2025-10-18T18:38:56+02:00;48.908168131015, 2.4530601033354;Bobigny;93008;
17041;Guersant - Gouvion-Saint-Cyr;OUI;36;23;9;6;3;OUI;OUI;2025-10-18T18:39:54+02:00;48.88287775178599, 2.287667370814871;Paris;75056;
7003;Square Boucicaut;OUI;60;54;5;4;1;OUI;OUI;2025-10-18T18:35:59+02:00;48.851296433665276, 2.325061820447445;Paris;75056;
11025;Froment - Bréguet;OUI;43;1;37;28;9;OUI;OUI;2025-10-18T18:38:49+02:00;48.8570414504784, 2.37289470306807;Paris;75056;
15047;Morillons - Dantzig;OUI;52;44;7;2;5;OUI;OUI;2025-10-18T18:37:55+02:00;48.83310149953933, 2.299380004405976;Paris;75056;
12109;Mairie du 12ème;OUI;30;23;6;2;4;OUI;OUI;2025-10-18T18:40:24+02:00;48.840855311763, 2.3875549435616;Paris;75056;
17026;Jouffroy d'Abbans - Wagram;OUI;40;31;9;3;6;OUI;OUI;2025-10-18T18:40:14+02:00;48.881973298352, 2.301132157445;Paris;75056;
6021;Beaux-Arts - Bonaparte;OUI;20;4;15;11;4;OUI;OUI;2025-10-18T18:34:30+02:00;48.856451985396, 2.3348518833518;Paris;75056;
5016;Thouin - Cardinal Lemoine;OUI;17;13;4;0;4;OUI;OUI;2025-10-18T18:39:34+02:00;48.845047166615, 2.3494647851273;Paris;75056;
15202;Bracion - Périphérique;OUI;30;22;6;4;2;OUI;OUI;2025-10-18T18:31:21+02:00;48.826103771275, 2.3004549373748;Paris;75056;
8050;Boétie - Ponthieu;OUI;45;33;11;5;6;OUI;OUI;2025-10-18T18:38:58+02:00;48.871417284355, 2.3076787590981;Paris;75056;
13007;Le Brun - Gobelins;OUI;48;45;2;0;2;OUI;OUI;2025-10-18T18:35:08+02:00;48.835092787824, 2.3534681351338;Paris;75056;
13101;Croulebarde - Corvisart;OUI;34;27;7;3;4;OUI;OUI;2025-10-18T18:38:06+02:00;48.830981659316855, 2.3481646925210953;Paris;75056;
42208;Place des Marseillais;OUI;35;24;11;8;3;OUI;OUI;2025-10-18T18:34:46+02:00;48.826605522232, 2.4059119927899;Charenton-le-Pont;94018;
21108;Mairie de Clichy;OUI;51;22;25;23;2;OUI;OUI;2025-10-18T18:40:12+02:00;48.903653634661, 2.3059353232384;Clichy;92024;
14108;Le Brix et Mesmin - Jourdan;OUI;21;14;4;3;1;OUI;OUI;2025-10-18T18:40:29+02:00;48.82234096593411, 2.327861653302471;Paris;75056;
2022;Saint-Fiacre - Poissonière;OUI;35;26;7;5;2;OUI;OUI;2025-10-18T18:39:26+02:00;48.870828911558, 2.3459213599563;Paris;75056;
31024;Romainville - Vaillant-Couturier;OUI;38;37;1;0;1;OUI;OUI;2025-10-18T18:34:02+02:00;48.86785, 2.446748;Montreuil;93048;
19033;Cambrai - Benjamin Constant;OUI;43;41;0;0;0;OUI;OUI;2025-10-18T18:36:13+02:00;48.89594736851349, 2.381133802246315;Paris;75056;
17044;Porte de Saint-Ouen - Bessières;OUI;42;37;5;4;1;OUI;OUI;2025-10-18T18:40:07+02:00;48.89792240854517, 2.32851451022192;Paris;75056;
21326;Moulin de Pierre - Abbé Grégoire;OUI;20;17;2;0;2;OUI;OUI;2025-10-18T18:31:22+02:00;48.822036188382, 2.2754641655975;Issy-les-Moulineaux;92040;
17025;Chazelles - Courcelles;OUI;35;30;3;2;1;OUI;OUI;2025-10-18T18:39:02+02:00;48.879406604954, 2.3034455627202988;Paris;75056;
20143;Ramponeau - Belleville;OUI;44;33;10;5;5;OUI;OUI;2025-10-18T18:39:08+02:00;48.871031137596, 2.379056852114;Paris;75056;
16138;Saint-Cloud - Hippodrome;OUI;30;24;3;3;0;OUI;OUI;2025-10-18T18:37:19+02:00;48.85772148887421, 2.2549109905958176;Paris;75056;
43002;Lagny - Victor Basch;OUI;26;19;4;1;3;OUI;OUI;2025-10-18T18:39:46+02:00;48.84884147189881, 2.426325418925233;Vincennes;94080;
21216;Louis Lejeune - Barbès;OUI;25;25;0;0;0;OUI;OUI;2025-10-18T18:31:29+02:00;48.81807418981508, 2.3267009854316716;Montrouge;92049;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;10;5;3;2;OUI;OUI;2025-10-18T18:37:03+02:00;48.83823094269141, 2.270506024360657;Paris;75056;
44010;8 Mai 1945 - 10 Juillet 1940;OUI;30;16;12;12;0;OUI;OUI;2025-10-18T18:40:19+02:00;48.784567029674, 2.3979035764933;Vitry-sur-Seine;94081;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;13;9;3;6;OUI;OUI;2025-10-18T18:38:31+02:00;48.78980918988166, 2.3143940046429634;Bagneux;92007;
16118;Michel-Ange - Parent de Rosan;OUI;26;19;5;1;4;OUI;OUI;2025-10-18T18:40:28+02:00;48.840579923690115, 2.2584119439125065;Paris;75056;
92002;Théâtre des Amandiers - Palais des sports;OUI;23;16;4;2;2;OUI;OUI;2025-10-18T18:38:48+02:00;48.892648526839, 2.2136941552162;Nanterre;92050;
2017;Caire - Dussoubs;OUI;40;11;29;18;11;OUI;OUI;2025-10-18T18:40:26+02:00;48.86785342111862, 2.349364310503006;Paris;75056;
31028;Raspail Barbès;OUI;28;25;2;0;2;OUI;OUI;2025-10-18T18:38:29+02:00;48.8529945, 2.4247387;Montreuil;93048;
14013;Liard - Amiral Mouchez;OUI;28;23;4;1;3;OUI;OUI;2025-10-18T18:37:30+02:00;48.8214169, 2.342167;Paris;75056;
17048;De Toqueville - Terrasse;OUI;30;23;5;4;1;OUI;OUI;2025-10-18T18:37:40+02:00;48.882428, 2.314002;Paris;75056;
13030;Italie - Tolbiac;OUI;21;10;5;2;3;OUI;OUI;2025-10-18T18:37:52+02:00;48.82557229464416, 2.3576171323657036;Paris;75056;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;7;22;13;9;OUI;OUI;2025-10-18T18:39:04+02:00;48.79628807093802, 2.417212128639221;Vitry-sur-Seine;94081;
40016;Sarrazins - Saussure;OUI;22;6;16;8;8;OUI;OUI;2025-10-18T18:39:48+02:00;48.769626617432, 2.4717841148376;Créteil;94028;
9008;Tour d'Auvergne - Rodier;OUI;17;15;2;0;2;OUI;OUI;2025-10-18T18:40:33+02:00;48.879161, 2.343698;Paris;75056;
